"PEAT_DEPTH","elev","aspect","slope","gdd","gsl","rain_ann","rain_daily","raindays_10mm","raindays_1mm","temp_mean","temp_min","temp_max"
121,6553,64.7142945152981,0.423419305447366,772.561573,193.88404,1062.440717,2.91079648493151,55.008745,196.784016,5.02220625,2.28074458333333,7.77120366666667
180,6015,114.558203441583,0.692821333245026,722.927915,186.2302,1150.793835,3.15285982191781,56.721775,199.91988,4.81742708333333,2.13723541666667,7.51176833333333
128,6120,37.5041423602706,0.496706103948887,737.988408,188.57184,1119.210732,3.06633077260274,56.20122,198.961836,4.87855,2.18118,7.58833533333333
60,6386,227.766788401169,0.760901378182443,844.002778,204.71544,980.142462,2.68532181369863,52.54867,192.333676,5.3261125,2.48335916666667,8.164332
16,6081,229.415621734637,0.742904271509781,871.320409,208.77732,955.214961,2.61702729041096,51.591085,190.664128,5.43943125,2.55806291666667,8.311421
50,6588,231.396585211473,0.670680926611054,824.470632,201.82936,999.976528,2.73966172054795,53.24248,193.518744,5.24761666666667,2.43087,8.063108
119,6418,221.395579460825,0.732707651919772,841.37706,204.3428,982.81794,2.69265189041096,52.6471,192.48632,5.31679166666667,2.47694166666667,8.15250666666667
58,6260,233.130102354156,0.75976275487577,855.556374,206.41552,969.084146,2.65502505753425,52.13691,191.635508,5.3723375,2.51416916666667,8.224006
41,6356,233.42696902148,0.767595049076598,846.628496,205.08808,977.466984,2.6779917369863,52.45024,192.181032,5.33543333333333,2.48977666666667,8.17615733333333
33,6055,228.691385986451,0.720885228155719,874.124126,209.17648,952.613154,2.60989905205479,51.48679,190.500492,5.44962083333333,2.56498916666667,8.32442733333333
62,6119,229.701245004788,0.823115746050982,867.465968,208.16864,958.173172,2.62513197808219,51.71342,190.915356,5.4203,2.54599666666667,8.286042
97,6557,232.066729716401,0.711504738486139,826.977684,202.18432,997.251936,2.73219708493151,53.14796,193.373428,5.25635833333333,2.43694833333333,8.074146
35,6194,232.101271725515,0.813653891917714,861.9772,207.388,963.4259,2.63952301369863,51.9181,191.2353,5.4005,2.53248333333333,8.26081666666667
23,6479,234.462322208026,0.672122723883766,835.371565,203.4322,988.648085,2.70862489041096,52.852225,192.86088,5.29065625,2.45981458333333,8.11845166666667
110,6494,230.896963510211,0.648013729764932,832.80518,203.0684,991.34812,2.71602224657534,52.9487,193.00986,5.281625,2.45356666666667,8.10702
61,6289,233.310277167524,0.761863526876187,852.871323,206.03404,971.735067,2.66228785479452,52.237295,191.791816,5.36272708333333,2.50758208333333,8.211787
19,6609,237.075288583193,0.628436047293109,821.96358,201.4744,1002.70112,2.74712635616438,53.337,193.66406,5.238875,2.42479166666667,8.05207
52,6158,230.728375812134,0.847888042200889,864.721584,207.77832,960.799536,2.63232749589041,51.81576,191.075328,5.4104,2.53924,8.27342933333333
104,6631,246.801409486352,0.600873274373839,819.456528,201.11944,1005.425712,2.75459099178082,53.43152,193.809376,5.23013333333333,2.41871333333333,8.041032
98,6706,125.66500153686,0.255826695764536,792.35364,196.9492,1036.57816,2.83994016438356,54.3442,195.52428,5.10991666666667,2.3393,7.88476
25,6468,57.2315009212298,0.802426328065092,766.30368,192.9544,1071.92862,2.93679073972603,55.2341,197.16466,4.99833333333333,2.26398333333333,7.74107
170,6088,108.199165053045,0.655198619633934,726.839485,186.8818,1143.305765,3.13234456164384,56.602225,199.65192,4.83715625,2.15051458333333,7.53733166666667
33,6580,43.3750236424755,0.462615747721515,777.897135,194.7478,1055.542015,2.89189593150685,54.842275,196.42812,5.04888541666667,2.29809375,7.806215
16,6137,39.1792757544751,0.631942822874342,740.181525,188.933,1115.564925,3.05634226027397,56.133625,198.8132,4.88957291666667,2.18849791666667,7.60269166666667
23,6701,148.392497753752,0.429429017866192,800.31492,198.1856,1027.00398,2.81370953424658,54.0793,195.01574,5.14591666666667,2.36306666666667,7.93159666666667
146,6326,95.1454581679389,0.487073040016335,751.434048,190.65704,1095.274992,3.00075340273973,55.74112,198.107216,4.93496666666667,2.22054666666667,7.65997866666667
103,6714,223.585576788599,0.278994067893976,808.513532,199.45736,1017.528028,2.78774802191781,53.80658,194.492544,5.183075,2.38751166666667,7.980008
114,6392,67.1749708076434,0.678135398153789,762.018842,192.30016,1078.470918,2.95471484383562,55.38253,197.432964,4.98059583333333,2.25177416666667,7.71843133333333
180,6322,69.7751405688321,0.545882145594558,749.876324,190.44352,1098.392496,3.00929450958904,55.80436,198.193908,4.93085833333333,2.21718166666667,7.65523933333333
145,5965,116.639172454634,0.712703816772948,717.206223,185.34604,1165.057167,3.19193744383562,56.924795,200.280616,4.79585208333333,2.12095708333333,7.485387
14,6624,44.2292512546074,0.667686470522114,782.597304,195.46392,1049.171616,2.87444278356164,54.68016,196.134168,5.06865,2.31149,7.83160933333333
140,6083,130.373429290628,0.550393591241592,731.198722,187.52856,1133.032038,3.10419736438356,56.43943,199.388524,4.8517625,2.16184916666667,7.554868
